id_cliente,nome,data_nascimento,cidade,data_cadastro
352,Cliente_352,1999-04-10,Belo Horizonte,2019-06-21
353,Cliente_353,1989-04-22,São Paulo,2023-06-09
354,Cliente_354,1952-08-03,Brasília,2024-10-29
355,Cliente_355,1971-06-21,Belo Horizonte,2019-10-11
356,Cliente_356,1999-06-02,Salvador,2018-02-26
357,Cliente_357,1986-08-09,Rio de Janeiro,2019-01-17
358,Cliente_358,1960-03-06,São Paulo,2023-03-06
359,Cliente_359,1963-10-25,Fortaleza,2023-08-04
360,Cliente_360,1976-03-08,Fortaleza,2023-09-16
361,Cliente_361,1974-07-13,Brasília,2022-08-29
362,Cliente_362,1993-04-15,Rio de Janeiro,2023-04-19
363,Cliente_363,1990-12-24,Rio de Janeiro,2024-03-07
364,Cliente_364,1984-05-31,Salvador,2020-02-20
365,Cliente_365,1995-08-07,Brasília,2019-07-14
366,Cliente_366,1956-04-06,Brasília,2021-02-05
367,Cliente_367,1987-03-24,Brasília,2021-10-24
368,Cliente_368,1995-07-21,Brasília,2020-12-30
369,Cliente_369,1950-03-26,Fortaleza,2021-03-04
370,Cliente_370,1976-10-14,Salvador,2024-08-01
371,Cliente_371,1993-12-05,Curitiba,2019-09-01
372,Cliente_372,1998-04-27,Belo Horizonte,2023-06-07
373,Cliente_373,1979-10-29,Brasília,2024-03-10
374,Cliente_374,1998-10-03,Curitiba,2022-03-26
375,Cliente_375,1978-11-14,Fortaleza,2020-02-12
376,Cliente_376,1971-06-05,Curitiba,2024-05-31
377,Cliente_377,1970-12-15,São Paulo,2022-08-10
378,Cliente_378,1978-07-19,Fortaleza,2023-04-22
379,Cliente_379,1984-03-15,Fortaleza,2022-05-01
380,Cliente_380,1963-08-25,São Paulo,2023-07-22
381,Cliente_381,1961-04-29,Salvador,2023-08-20
382,Cliente_382,1979-10-14,Brasília,2019-02-16
383,Cliente_383,1989-07-02,Salvador,2019-02-13
384,Cliente_384,1990-12-29,Fortaleza,2018-03-04
385,Cliente_385,1962-12-07,Brasília,2022-08-07
386,Cliente_386,1963-11-07,Curitiba,2018-11-03
387,Cliente_387,1973-10-11,Salvador,2021-10-18
388,Cliente_388,1985-08-29,Brasília,2018-11-25
389,Cliente_389,1979-06-24,Curitiba,2023-12-26
390,Cliente_390,1978-05-30,Brasília,2023-06-22
391,Cliente_391,1998-07-16,Salvador,2018-05-28
392,Cliente_392,1956-02-21,Fortaleza,2020-08-19
393,Cliente_393,1975-10-13,Fortaleza,2020-07-20
394,Cliente_394,1958-02-09,São Paulo,2022-11-13
395,Cliente_395,1959-01-07,Rio de Janeiro,2022-12-23
396,Cliente_396,1976-11-12,São Paulo,2018-04-29
397,Cliente_397,1979-02-07,Belo Horizonte,2018-08-18
398,Cliente_398,1982-02-28,Curitiba,2022-03-16
399,Cliente_399,1963-01-23,Salvador,2020-09-27
400,Cliente_400,1986-12-20,Fortaleza,2024-05-07
401,Cliente_401,1966-02-26,Rio de Janeiro,2019-11-28
402,Cliente_402,1957-01-31,Brasília,2024-11-01
403,Cliente_403,1984-04-27,Curitiba,2020-09-13
404,Cliente_404,2002-04-26,Rio de Janeiro,2019-08-10
405,Cliente_405,1991-05-16,Curitiba,2020-11-06
406,Cliente_406,1972-11-27,Brasília,2018-02-08
407,Cliente_407,1991-09-28,Fortaleza,2021-03-24
408,Cliente_408,1999-01-14,São Paulo,2019-10-10
409,Cliente_409,1989-08-18,Salvador,2021-11-16
410,Cliente_410,1976-11-02,Fortaleza,2022-10-04
411,Cliente_411,1972-06-09,Brasília,2023-02-15
412,Cliente_412,1977-02-07,Curitiba,2020-03-26
413,Cliente_413,1993-05-08,Rio de Janeiro,2019-03-13
414,Cliente_414,1984-03-19,Belo Horizonte,2024-05-31
415,Cliente_415,2001-07-27,Fortaleza,2021-04-26
416,Cliente_416,1976-06-27,Brasília,2018-03-31
417,Cliente_417,1985-07-05,São Paulo,2021-01-29
418,Cliente_418,2000-10-09,Salvador,2018-07-20
419,Cliente_419,1994-07-25,Brasília,2021-03-18
420,Cliente_420,1970-08-24,Brasília,2024-10-22
421,Cliente_421,1981-08-10,Fortaleza,2020-06-16
422,Cliente_422,1967-01-22,Fortaleza,2020-10-23
423,Cliente_423,1962-04-09,Fortaleza,2019-02-02
424,Cliente_424,1953-07-15,Brasília,2021-06-19
425,Cliente_425,1989-07-19,Salvador,2018-05-17
426,Cliente_426,1982-09-25,São Paulo,2019-06-23
427,Cliente_427,1976-06-23,Fortaleza,2021-08-31
428,Cliente_428,1987-04-12,Rio de Janeiro,2019-12-21
429,Cliente_429,1961-11-09,Belo Horizonte,2024-01-19
430,Cliente_430,1997-08-16,Belo Horizonte,2023-08-18
431,Cliente_431,1964-10-05,Brasília,2020-11-18
432,Cliente_432,1993-03-25,Fortaleza,2021-04-23
433,Cliente_433,1980-05-22,Curitiba,2019-04-17
434,Cliente_434,1956-10-03,Brasília,2019-07-31
435,Cliente_435,1970-03-29,Brasília,2022-06-16
436,Cliente_436,2000-01-01,São Paulo,2022-02-07
437,Cliente_437,1985-05-26,Belo Horizonte,2018-02-27
438,Cliente_438,1998-02-20,Curitiba,2019-05-22
439,Cliente_439,1983-01-25,Salvador,2020-12-09
440,Cliente_440,1984-03-08,São Paulo,2022-03-02
441,Cliente_441,1970-12-23,São Paulo,2023-04-16
442,Cliente_442,2000-05-14,Salvador,2021-09-05
443,Cliente_443,1969-11-10,Fortaleza,2018-09-16
444,Cliente_444,1991-08-27,Fortaleza,2021-05-22
445,Cliente_445,1986-08-19,Rio de Janeiro,2019-04-23
446,Cliente_446,1954-01-25,Belo Horizonte,2018-06-02
447,Cliente_447,1994-03-13,São Paulo,2019-04-21
448,Cliente_448,1971-01-24,Rio de Janeiro,2024-01-11
449,Cliente_449,1984-11-13,Belo Horizonte,2023-02-02
450,Cliente_450,1998-06-19,Salvador,2022-09-13
451,Cliente_451,1963-11-12,Fortaleza,2022-08-27
452,Cliente_452,1958-11-19,Salvador,2023-06-28
453,Cliente_453,1986-08-13,São Paulo,2021-02-19
454,Cliente_454,1983-03-30,Curitiba,2020-06-08
455,Cliente_455,1989-11-23,Brasília,2020-08-25
456,Cliente_456,1982-07-16,Fortaleza,2019-02-11
457,Cliente_457,1982-12-15,Fortaleza,2024-02-09
458,Cliente_458,1982-03-07,Curitiba,2018-09-06
459,Cliente_459,1974-10-02,São Paulo,2020-02-17
460,Cliente_460,1990-10-18,Fortaleza,2019-01-11
461,Cliente_461,1969-01-11,São Paulo,2024-09-11
462,Cliente_462,1954-07-16,Rio de Janeiro,2021-09-28
463,Cliente_463,1961-04-19,Rio de Janeiro,2024-05-01
464,Cliente_464,1956-02-27,Rio de Janeiro,2024-03-20
465,Cliente_465,2002-08-10,Brasília,2020-06-03
466,Cliente_466,1970-11-26,Brasília,2021-09-07
